عدد قلابات الكرتة ,عدد الإستمارات,الإنتاج بالجرام,إجمالي الإيرادات,الإيرادات,,وارد الحجر,,البيان,date,soug_id
0,0,0,763000,0,763000,0,109,أبو محمود,6/5/2025,42
0,6,219.5,0,0,0,0,300,شمال هيا,6/5/2025,52
0,0,0,50000,0,0,0,0,غرابيل,6/5/2025,0
0,0,0,52346000,0,52346000,0,7478,أوجرين,7/5/2025,43
0,1,130,55216000,0,55216000,0,7888,المطار,7/5/2025,48
0,33,5981,9408000,0,9408000,0,1344,قبايديب,7/5/2025,31
0,0,0,12117000,0,12117000,0,1731,وادي العشار,7/5/2025,8
0,1,417,21875000,0,21875000,0,3125,الأنصاري,7/5/2025,46
0,8,700.6,5131000,0,5131000,0,733,الفرقة,7/5/2025,47
0,2,619.4,0,0,0,0,0,أوقييت,7/5/2025,44
0,3,879.4,861000,0,861000,0,123,الياسمين,7/5/2025,29
0,1,1493.9,7650000,0,7650000,0,1092,نوراي,7/5/2025,28
0,4,922.7,1925000,0,1925000,0,275,الهرابة,7/5/2025,50
0,4,686.9,2968000,0,2968000,0,424,أوكليس,7/5/2025,45
0,0,0,1645000,0,1645000,0,235,الهدى,7/5/2025,49
0,0,0,931000,0,931000,0,133,أبو محمود,7/5/2025,42
0,4,916.3,1960000,0,1960000,0,280,شمال هيا,7/5/2025,52
0,0,0,2100000,0,2100000,0,300,تحصيل مكتبي,7/5/2025,54
0,0,0,50000,0,0,0,0,غرابيل,7/5/2025,0
0,0,0,51373000,0,51373000,0,7339,أوجرين,8/5/2025,43
0,3,4842.2,25297000,0,25297000,0,7471,المطار,8/5/2025,48
0,40,9121.8,7112000,0,7112000,0,1016,قبايديب,8/5/2025,31
0,0,0,10556000,0,10556000,0,1508,وادي العشار,8/5/2025,8
0,1,4366,17360000,0,17360000,0,2480,الأنصاري,8/5/2025,46
0,14,969,6062000,0,6062000,0,866,الفرقة,8/5/2025,47
0,1,81.6,49000,0,49000,0,7,أوقييت,8/5/2025,44
0,4,1261.1,819000,0,819000,0,117,الياسمين,8/5/2025,29
