date, sold price , buy price 
2026-07-02," 3,434.3257 "," 3,408.6707 "
2026-07-05," 3,434.2357 "," 3,408.6707 "
2026-07-06," 3,665.0748 "," 3,637.7914 "
2026-07-07," 4,010.7135 "," 3,980.8571 "
2026-07-08," 3,651.9212 "," 3,624.7357 "
2026-07-09," 3,651.9212 "," 3,624.7357 "
2026-07-12," 3,669.7698 "," 3,642.4514 "
2026-07-13," 4,155.6836 "," 4,124.7480 "
2026-07-14," 4,131.5337 "," 4,100.7779 "
2026-07-15," 4,371.9405 "," 4,339.3950 "
2026-07-16," 4,364.9759 "," 4,332.4823 "
2026-07-19," 4,119.5366 "," 4,088.8701 "
2026-07-20," 4,083.7412 "," 4,053.3411 "
2026-07-21," 4,244.4267 "," 4,212.8305 "
2026-07-22," 4,174.3313 "," 4,143.2569 "
2026-07-23," 4,209.2068 "," 4,177.8728 "
2026-07-26," 3,916.8716 "," 3,887.7137 "
2026-07-27," 4,265.1161 "," 4,233.3659 "
2026-07-28," 4,214.3944 "," 4,183.0217 "
2026-07-29," 3,904.6500 "," 3,875.5831 "
2026-07-30," 3,851.5436 "," 3,822.8721 "
2026-08-02," 4,288.4583 "," 4,256.5343 "
2026-08-03," 4,267.6305 "," 4,235.8615 "
2026-08-04," 4,316.9096 "," 4,284.7738 "
2026-08-05," 4,297.4975 "," 4,265.5062 "
2026-08-06," 4,153.4953 "," 4,122.5760 "
