name
شركة سرسال للاستثمار والخدمات المحدوده
اوربي للتعدين
اعمال محجوب للبيع والشراء
اعمال نيجر الهندسية
اعمال الخواجه لصياغه الذهب والمجوهرات
العنوان للمجوهرات
اعمال صحاري قولد لصياغه الذهب
يوسف عطا المنان عبدالله عوض الله للتعدين
سودان الستراكت
شركه العنج للتعدين
ارزاق لاعمال للتعدين
