#,شركة,الاتفاقية/العقد,الفترة من,الفترة إلى,العملة\ جنيه\ دولار,متبقي رسوم عقد المخلفات,متبقي بونص توقيع عقد مخلفات,متبقي سداد الهيئة رسوم عقد المخلفات,متبقي سداد الهيئة بونص توقيع عقد مخلفات
30,أم عوادة لخدمات الذهب التقليدي,252,2020-01-13,2023-01-12,جنيه,20000000, -   , -   , -   
29,الجكوب للتعدين,251,2024-04-03,2027-04-02,جنيه,25000000, -   , -   , -   
28,جن موشي خواتو للأعمال المتقدمة المحدودة,250,2017-12-17,2019-12-16,جنيه,30000000, -   , -   , -   
27,إكسير للتعدين,249,2022-07-17,2025-07-16,جنيه,13000000, -   , -   , -   
26,إس إم إية اقرو انفستمنت المحدودة,248,2021-06-29,2024-06-28,جنيه,30000000, -   , -   , -   
25,المبرأة للتعدين والاستثمار المحدودة,247,2021-12-27,2022-12-26,جنيه,30000000, -   , -   , -   
24,نجير للتنمية المحدودة,246,2021-05-26,2024-05-25,جنيه,15000000, -   , -   , -   
23,الصولج للتعدين المحدودة,245,2020-12-04,2023-12-03,جنيه,20000000, -   , -   , -   
22,الشاطئ للتعدين المحدودة,244,2019-05-15,2022-05-14,جنيه,40000000, -   , -   , -   
19,صحاري للتعدين المحدودة,241,2022-07-17,2025-07-16,جنيه,30000000, -   , -   , -   
16,المسار العالمية للخدمات والتعدين المحدودة,238,2019-09-25,2022-09-25,جنيه,20000000, -   , -   , -   
15,ساندستون للتنمية والاستثمار المحدودة,237,2020-01-11,2023-01-10,جنيه,50000000, -   , -   , -   
14,رضا للهندسة والإنشاءات المحدودة,236,2019-08-16,2022-08-15,جنيه,50000000, -   , -   , -   
