name,type_id
العوائد الجليلة,1
العوائد الجليلة من التعدين الصغير ,1
نصيب الحكومة من أرباح الأعمال,2
نصيب الحكومة من أرباح الأعمال إمتياز,2
عوائد جليلة للتعدين التقليدي,3
أخرى,4
إيجار أرض شركات  إمتياز,5
دعم فني لشركات الإمتياز,5
بونص توقيع إتفاقيات الإمتياز,5
ممثل الحكومة لشركات الإمتياز,5
رسوم تجديد عقد المخلفات,5
رسوم بونص توقيع عقد معالجة المخلفات,5
رسوم إيجار عقود التعدين للإمتياز المنتج,5
رسوم إيجار عقود التعدين الصغير,5
نصيب المجتمع المحلي من الايرادات,6
الزكاة,7
